# P, Pc, E, M, R, EoS
2.628661228254415427e-12 5.500000000000000000e+01 4.168916182795462646e+02 1.437152052185408424e+00 1.314399999999815449e+01 ska
2.544638943554946880e-12 5.600000000000000000e+01 4.199183415397337740e+02 1.446911367995154851e+00 1.313799999999815782e+01 ska
2.432512103190462787e-12 5.700000000000000000e+01 4.229170100731078037e+02 1.456486354548687912e+00 1.313199999999816114e+01 ska
2.353185498866691293e-12 5.800000000000000000e+01 4.258884324590237611e+02 1.465882434407449031e+00 1.312599999999816447e+01 ska
2.191828926962602878e-12 5.900000000000000000e+01 4.288333805249154693e+02 1.475104797997760953e+00 1.311999999999816779e+01 ska
2.075120813842875028e-12 6.000000000000000000e+01 4.317525916079410422e+02 1.484158417105368777e+00 1.311399999999817112e+01 ska
1.935386594412034638e-12 6.100000000000000000e+01 4.346467706422658921e+02 1.493048074792997060e+00 1.310799999999817445e+01 ska
1.715834247165550521e-12 6.200000000000000000e+01 4.375165920880514818e+02 1.501778340100125009e+00 1.310199999999817777e+01 ska
1.563666780301966099e-12 6.300000000000000000e+01 4.403627017165007373e+02 1.510353614554690971e+00 1.309599999999818110e+01 ska
1.406389379469350221e-12 6.400000000000000000e+01 4.431857182638053700e+02 1.518778123635988742e+00 1.308999999999818442e+01 ska
4.393995956779330106e-12 6.500000000000000000e+01 4.459862349655130629e+02 1.527055929237186138e+00 1.308299999999818830e+01 ska
1.537820591888103020e-12 6.600000000000000000e+01 4.487648209816568396e+02 1.535190938007677808e+00 1.307799999999819107e+01 ska
3.681373914562181392e-12 6.700000000000000000e+01 4.515220227219547269e+02 1.543186910075214024e+00 1.307099999999819495e+01 ska
1.904881499180075711e-12 6.800000000000000000e+01 4.542583650794673531e+02 1.551047464185480784e+00 1.306499999999819828e+01 ska
1.673477105575197729e-12 6.900000000000000000e+01 4.569743525802829822e+02 1.558776085561948577e+00 1.305899999999820160e+01 ska
5.050873900558010159e-12 7.000000000000000000e+01 4.596704704560763730e+02 1.566376134254798158e+00 1.305199999999820548e+01 ska
4.652479057430509563e-12 7.100000000000000000e+01 4.623471856457377953e+02 1.573850848923320722e+00 1.304599999999820881e+01 ska
5.216477616835747393e-12 7.200000000000000000e+01 4.650049477316912316e+02 1.581203352864576139e+00 1.303999999999821213e+01 ska
4.842454736386103702e-12 7.300000000000000000e+01 4.676441898160064738e+02 1.588436661609654577e+00 1.303399999999821546e+01 ska
3.413876045289846317e-12 7.400000000000000000e+01 4.702653293409413209e+02 1.595553683609588269e+00 1.302799999999821878e+01 ska
3.106955163036602681e-12 7.500000000000000000e+01 4.728687688581428574e+02 1.602557228691829261e+00 1.302199999999822211e+01 ska
5.469796970143635395e-12 7.600000000000000000e+01 4.754548967503558288e+02 1.609450011114066381e+00 1.301499999999822599e+01 ska
5.042305304524597840e-12 7.700000000000000000e+01 4.780240879091561510e+02 1.616234654110270563e+00 1.300899999999822931e+01 ska
4.639387522012837420e-12 7.800000000000000000e+01 4.805767043719221761e+02 1.622913693902058752e+00 1.300299999999823264e+01 ska
5.204131806663000610e-12 7.900000000000000000e+01 4.831130959209856996e+02 1.629489583280623322e+00 1.299699999999823596e+01 ska
4.856551983867597371e-12 8.000000000000000000e+01 4.856336006476547027e+02 1.635964697404026724e+00 1.299099999999823929e+01 ska
4.535556799742779427e-12 8.100000000000000000e+01 4.881385454835811970e+02 1.642341329128568006e+00 1.298499999999824261e+01 ska
4.244422997776466133e-12 8.200000000000000000e+01 4.906282467017415456e+02 1.648621704004179511e+00 1.297899999999824594e+01 ska
2.916196817571797959e-12 8.300000000000000000e+01 4.931030103891167187e+02 1.654807975695659295e+00 1.297299999999824927e+01 ska
2.702329614876104215e-12 8.400000000000000000e+01 4.955631328929884489e+02 1.660902230456866357e+00 1.296699999999825259e+01 ska
2.510699072642980819e-12 8.500000000000000000e+01 4.980089012426239492e+02 1.666906490259760343e+00 1.296099999999825592e+01 ska
5.272017242027615095e-12 8.600000000000000000e+01 5.004405935479742311e+02 1.672822715108516878e+00 1.295399999999825980e+01 ska
5.031116352774573787e-12 8.700000000000000000e+01 5.028584793768945929e+02 1.678652802902490526e+00 1.294799999999826312e+01 ska
4.821817348968766523e-12 8.800000000000000000e+01 5.052628201122746532e+02 1.684398602759449526e+00 1.294199999999826645e+01 ska
4.631888745094516905e-12 8.900000000000000000e+01 5.076538692903635592e+02 1.690061900582121357e+00 1.293599999999826977e+01 ska
4.495762563664388469e-12 9.000000000000000000e+01 5.100318729214816358e+02 1.695644432453259798e+00 1.292999999999827310e+01 ska
4.387931797001999075e-12 9.100000000000000000e+01 5.123970697942178276e+02 1.701147883646595194e+00 1.292399999999827642e+01 ska
4.315424192743601096e-12 9.200000000000000000e+01 5.147496917641365144e+02 1.706573890874489630e+00 1.291799999999827975e+01 ska
4.279854569403113818e-12 9.300000000000000000e+01 5.170899640279412779e+02 1.711924042007480606e+00 1.291199999999828307e+01 ska
4.279490381167134104e-12 9.400000000000000000e+01 5.194181053839768083e+02 1.717199884963278800e+00 1.290599999999828640e+01 ska
4.296714614629493700e-12 9.500000000000000000e+01 5.217343284798843115e+02 1.722402919044264014e+00 1.289999999999828972e+01 ska
4.374158208621615257e-12 9.600000000000000000e+01 5.240388400481779172e+02 1.727534606744368206e+00 1.289399999999829305e+01 ska
4.495669258955257583e-12 9.700000000000000000e+01 5.263318411304438769e+02 1.732596359791849006e+00 1.288799999999829637e+01 ska
