# P, Pc, E, M, R, EoS
7.404906551468430599e-13 9.299999999999997158e+00 2.431353278584152235e+02 4.556374263418859205e-01 1.236299999999858734e+01 SCVBB
8.050242536327007492e-13 9.399999999999998579e+00 2.440822767692986304e+02 4.587488297599671694e-01 1.235499999999859178e+01 SCVBB
7.172468928272338032e-13 9.499999999999998224e+00 2.450230811954945125e+02 4.618439508188116327e-01 1.234799999999859565e+01 SCVBB
6.699887117803150216e-13 9.599999999999997868e+00 2.459578477425921790e+02 4.649229808332742131e-01 1.234099999999859953e+01 SCVBB
6.609700011542439693e-13 9.699999999999997513e+00 2.468866800813651139e+02 4.679861097092426481e-01 1.233399999999860341e+01 SCVBB
6.863879295553479339e-13 9.799999999999997158e+00 2.478096790578707100e+02 4.710335171417101008e-01 1.232699999999860729e+01 SCVBB
9.270907929843365981e-13 9.899999999999998579e+00 2.487269427983419803e+02 4.740653847626125073e-01 1.231999999999861117e+01 SCVBB
9.093701606341717319e-13 5.000000000000000000e+00 1.943352326107476244e+02 3.028288578114095575e-01 1.312599999999816447e+01 SCVBB
8.855988239079710501e-13 6.000000000000000000e+00 2.074990996586582241e+02 3.422748667514517451e-01 1.281999999999833406e+01 SCVBB
7.720235717379204793e-13 7.000000000000000000e+00 2.193590878841663994e+02 3.790703385465473696e-01 1.262199999999844380e+01 SCVBB
8.847356365857123116e-13 8.000000000000000000e+00 2.302112010892538194e+02 4.136122749517022190e-01 1.248499999999851973e+01 SCVBB
6.598955933593549955e-13 9.000000000000000000e+00 2.402565016699657008e+02 4.462035373375392022e-01 1.238699999999857404e+01 SCVBB
6.547006279006526905e-13 1.000000000000000000e+01 2.496385668091677132e+02 4.770818895113325131e-01 1.231399999999861450e+01 SCVBB
7.299662437054635347e-13 1.100000000000000000e+01 2.584639385275928589e+02 5.064385205968032766e-01 1.225799999999864554e+01 SCVBB
6.663245170679931665e-13 1.200000000000000000e+01 2.668141219585108388e+02 5.344302306567219052e-01 1.221499999999866937e+01 SCVBB
6.364598060292074862e-13 1.300000000000000000e+01 2.747530323535049206e+02 5.611877856910719720e-01 1.217999999999868876e+01 SCVBB
7.235609983282023188e-13 1.400000000000000000e+01 2.823318314372640998e+02 5.868217685456835753e-01 1.215199999999870428e+01 SCVBB
6.172379278228492781e-13 1.500000000000000000e+01 2.895921876845196152e+02 6.114268304722949576e-01 1.212899999999871703e+01 SCVBB
4.743037660319792846e-13 1.600000000000000000e+01 2.965685439625174240e+02 6.350848270869839940e-01 1.210999999999872756e+01 SCVBB
5.429755429055965491e-13 1.700000000000000000e+01 3.032897373108241936e+02 6.578671893295046091e-01 1.209399999999873643e+01 SCVBB
4.828015426810432440e-13 1.800000000000000000e+01 3.097801828036174925e+02 6.798367545052469429e-01 1.207999999999874419e+01 SCVBB
3.899637859759759152e-13 1.900000000000000000e+01 3.160607562745756809e+02 7.010491771633237112e-01 1.206799999999875084e+01 SCVBB
7.305373908771898633e-13 2.000000000000000000e+01 3.221494641693287235e+02 7.215540727640884500e-01 1.205699999999875693e+01 SCVBB
7.210000736173230768e-13 2.100000000000000000e+01 3.280619598357585573e+02 7.413959072264794115e-01 1.204799999999876192e+01 SCVBB
6.705758980800254582e-13 2.200000000000000000e+01 3.338119470230745947e+02 7.606147450091884643e-01 1.203899999999876691e+01 SCVBB
6.691530206201462695e-13 2.300000000000000000e+01 3.394114991897048412e+02 7.792468431576257126e-01 1.203199999999877079e+01 SCVBB
3.724652173237394266e-13 2.400000000000000000e+01 3.448713150498845152e+02 7.973251487717106789e-01 1.202499999999877467e+01 SCVBB
3.309244264496010527e-13 2.500000000000000000e+01 3.502009251934139797e+02 8.148797299138751393e-01 1.201899999999877799e+01 SCVBB
3.011430149503324196e-13 2.600000000000000000e+01 3.554088607110927569e+02 8.319381036218177483e-01 1.201299999999878132e+01 SCVBB
5.593571810833103233e-13 2.700000000000000000e+01 3.605027919922676460e+02 8.485255413589322115e-01 1.200699999999878465e+01 SCVBB
7.361891899831586888e-13 2.800000000000000000e+01 3.654896438705391120e+02 8.646653191559153795e-01 1.200099999999878797e+01 SCVBB
6.472551946950487637e-13 2.900000000000000000e+01 3.703756918416617623e+02 8.803789526528368325e-01 1.199599999999879074e+01 SCVBB
6.304938147669611216e-13 3.000000000000000000e+01 3.751666430049929204e+02 8.956863423040518635e-01 1.199099999999879351e+01 SCVBB
1.051334722145784242e-12 3.100000000000000000e+01 3.798677045781353740e+02 9.106059741645141647e-01 1.198699999999879573e+01 SCVBB
1.200813505687389364e-12 3.200000000000000000e+01 3.844836422287435767e+02 9.251550444379954552e-01 1.198199999999879850e+01 SCVBB
9.533493764011870230e-13 3.300000000000000000e+01 3.890188300053044372e+02 9.393495858568640111e-01 1.197699999999880127e+01 SCVBB
1.203872736419926852e-12 3.400000000000000000e+01 3.934772932927560305e+02 9.532045710467386135e-01 1.197299999999880349e+01 SCVBB
9.571665666640157780e-13 3.500000000000000000e+01 3.978627459422756374e+02 9.667340134112750727e-01 1.196799999999880626e+01 SCVBB
5.885835996478299346e-13 3.600000000000000000e+01 4.021786225079896440e+02 9.799510481562391240e-01 1.196399999999880848e+01 SCVBB
1.149239495706436810e-12 3.700000000000000000e+01 4.064281063524300066e+02 9.928680067009284516e-01 1.195999999999881069e+01 SCVBB
7.131674973645909061e-13 3.800000000000000000e+01 4.106141542467075851e+02 1.005496487480638912e+00 1.195499999999881346e+01 SCVBB
5.742567181753652851e-13 3.900000000000000000e+01 4.147395179826536378e+02 1.017847418417144212e+00 1.195099999999881568e+01 SCVBB
1.722941705588390313e-12 4.000000000000000000e+01 4.188067634266368486e+02 1.029931092187504005e+00 1.194699999999881790e+01 SCVBB
1.148459226864591412e-12 4.100000000000000000e+01 4.228182873738368244e+02 1.041757245191110348e+00 1.194299999999882012e+01 SCVBB
6.459903914349662088e-13 4.200000000000000000e+01 4.267763325039728102e+02 1.053335070579087818e+00 1.193799999999882289e+01 SCVBB
1.953825909063983853e-12 4.300000000000000000e+01 4.306830006921534277e+02 1.064673272880745758e+00 1.193399999999882510e+01 SCVBB
1.313974207172454925e-12 4.400000000000000000e+01 4.345402648895470179e+02 1.075780116361831684e+00 1.192999999999882732e+01 SCVBB
1.113169351001627490e-12 4.500000000000000000e+01 4.383499797563350739e+02 1.086663415301615698e+00 1.192599999999882954e+01 SCVBB
9.279074718212541477e-13 4.600000000000000000e+01 4.421138912026198113e+02 1.097330607143112147e+00 1.192099999999883231e+01 SCVBB
2.128746589879119107e-12 4.700000000000000000e+01 4.458336449705931841e+02 1.107788765285538934e+00 1.191699999999883453e+01 SCVBB
1.087317731131471600e-12 4.800000000000000000e+01 4.495107943725264477e+02 1.118044619715549359e+00 1.191299999999883674e+01 SCVBB
