# P, Pc, E, M, R, EoS
9.073527242876917968e-13 6.699999999999998401e+00 2.081157838497133241e+02 3.851726450407241265e-01 1.274299999999837674e+01 APR_1
8.383120736249892148e-13 6.799999999999998934e+00 2.091675292220671167e+02 3.891205546501957935e-01 1.272799999999838505e+01 APR_1
7.158510619090725824e-13 6.899999999999998579e+00 2.102091319450188394e+02 3.930452749166064574e-01 1.271399999999839281e+01 APR_1
9.900417911620149168e-13 6.999999999999998224e+00 2.112408350651982971e+02 3.969471449395736151e-01 1.269899999999840112e+01 APR_1
8.839945452427144120e-13 7.099999999999998757e+00 2.122628724358891077e+02 4.008264940597724424e-01 1.268599999999840833e+01 APR_1
8.742025656635893263e-13 7.199999999999998401e+00 2.132754691887929823e+02 4.046836424051129533e-01 1.267299999999841553e+01 APR_1
7.832793927860949989e-13 7.299999999999998934e+00 2.142788421753967327e+02 4.085189064671985726e-01 1.266099999999842218e+01 APR_1
7.749889736421590195e-13 7.399999999999998579e+00 2.152732003802872498e+02 4.123325898886833207e-01 1.264899999999842883e+01 APR_1
6.812454877369191590e-13 7.499999999999998224e+00 2.162587453085521076e+02 4.161249904879361639e-01 1.263799999999843493e+01 APR_1
9.775272839746481412e-13 7.599999999999998757e+00 2.172356713492123390e+02 4.198963991498460002e-01 1.262599999999844158e+01 APR_1
7.058307216113352156e-13 7.699999999999998401e+00 2.182041661164652169e+02 4.236470992234736554e-01 1.261599999999844712e+01 APR_1
9.844965281323468932e-13 7.799999999999998046e+00 2.191644107703610018e+02 4.273773681411197067e-01 1.260499999999845322e+01 APR_1
8.124518948549922497e-13 7.899999999999998579e+00 2.201165803184004517e+02 4.310874754894119532e-01 1.259599999999845821e+01 APR_1
8.988426802271712482e-13 7.999999999999998224e+00 2.210608438994141522e+02 4.347776848336828981e-01 1.258599999999846375e+01 APR_1
8.665895916220986888e-13 8.099999999999997868e+00 2.219973650509722347e+02 4.384482541891465690e-01 1.257699999999846874e+01 APR_1
7.130554779464419857e-13 8.199999999999999289e+00 2.229263019614706138e+02 4.420994353604555949e-01 1.256899999999847317e+01 APR_1
9.633442295416345758e-13 8.299999999999997158e+00 2.238478077079480784e+02 4.457314739048351959e-01 1.255999999999847816e+01 APR_1
9.215243633385191961e-13 8.399999999999998579e+00 2.247620304806021920e+02 4.493446110053506692e-01 1.255199999999848259e+01 APR_1
9.403590335420036693e-13 8.499999999999998224e+00 2.256691137948984931e+02 4.529390811762017410e-01 1.254399999999848703e+01 APR_1
6.644893683377907865e-13 8.599999999999997868e+00 2.265691966920943514e+02 4.565151147123636677e-01 1.253699999999849091e+01 APR_1
9.486095112763695067e-13 8.699999999999997513e+00 2.274624139289382754e+02 4.600729368424262833e-01 1.252899999999849534e+01 APR_1
9.311268476564176823e-13 8.799999999999998934e+00 2.283488961572460880e+02 4.636127663282251787e-01 1.252199999999849922e+01 APR_1
7.599084920571042744e-13 8.899999999999998579e+00 2.292287700940020443e+02 4.671348200921072169e-01 1.251599999999850255e+01 APR_1
8.386128199120706305e-13 8.999999999999998224e+00 2.301021586825864063e+02 4.706393106094546308e-01 1.250899999999850642e+01 APR_1
7.621017574404233249e-13 9.099999999999997868e+00 2.309691812456840694e+02 4.741264404627872908e-01 1.250299999999850975e+01 APR_1
7.332493455145054487e-13 9.199999999999997513e+00 2.318299536303915716e+02 4.775964137674700294e-01 1.249699999999851308e+01 APR_1
7.446020207791863582e-13 9.299999999999997158e+00 2.326845883459994297e+02 4.810494268960492925e-01 1.249099999999851640e+01 APR_1
